word,meaning,part_of_speech,examples,meaning_vi,phonetic
communication,"
+) the activity of communicating; the activity of conveying information
+) something that is communicated by or to or between people or groups
+) a connection allowing access between persons or places",n,"
+) they could not act without official communication from Moscow
+) how many lines of communication can there be among four people?
+) a secret passageway provided communication between the two rooms","+) sự truyền đạt, sự thông tri, sự thông tin; tin tức truyền đạt; thông báo
+) sự giao thiệp, sự liên lạc
+) sự giao thông, sự thông nhau
+) (số nhiều) (quân sự) giao thông giữa căn cứ và mặt trận
+) dây báo hãm (trên xe lửa)",communication
get,"
+) a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
+) come into the possession of something concrete or abstract
+) enter or assume a certain state or condition","v, n","
+) She got a lot of paintings from her uncle
+) They acquired a new pet
+) Get your results the next day","+) được, có được, kiếm được, lấy được
+) nhận được, xin được, hỏi được
+) tìm ra, tính ra
+) mua
+) học (thuộc lòng)",get
conference,"
+) a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
+) an association of sports teams that organizes matches for its members
+) a discussion among participants who have an agreed (serious) topic",n,"
+) ","+) sự bàn bạc, sự hội ý
+) hội nghị",conference
sprint,"
+) a quick run
+) run very fast, usually for a short distance","v, n","
+) ","+) sự chạy nhanh, sự chạy nước rút; nước rút
+) chạy nước rút, chạy hết tốc lực",dash
graduate,"
+) a person who has received a degree from a school (high school or college or university)
+) a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
+) receive an academic degree upon completion of one's studies","s, v, n","
+) She graduated in 1990
+) This school graduates 2,000 students each year
+) calibrate an instrument","+) (như) grad
+) (hoá học) cốc chia độ
+) chia độ
+) tăng dần dần
+) sắp xếp theo mức độ",alumnus
multiple,"
+) the product of a quantity by an integer
+) having or involving or consisting of more than one part or entity or individual","a, n","
+) 36 is a multiple of 9
+) multiple birth
+) multiple ownership","+) nhiều, nhiều mối, phức tạp
+) (toán học) bội số
+) bội // bội số
+) common m. bội số chung
+) least common m. bội số chung nhỏ nhất",multiple
last,"
+) the temporal end; the concluding time
+) the last or lowest in an ordering or series
+) a person's dying act; the final thing a person can do","a, s, r, v, n","
+) the stopping point of each round was signaled by a bell
+) the market was up at the finish
+) they were playing better at the close of the season","+) khuôn giày, cốt giày
+) không dính vào những chuyện mà mình không biết
+) lát (đơn vị đo trọng tải của tàu thuỷ, bằng 2000 kg)
+) người cuối cùng, người sau cùng
+) lần cuối, lần sau cùng; giờ phút cuối cùng",stopping_point
assignment,"
+) a duty that you are assigned to perform (especially in the armed forces)
+) the instrument by which a claim or right or interest or property is transferred from one person to another
+) the act of distributing something to designated places or persons",n,"
+) hazardous duty
+) the first task is the assignment of an address to each datum
+) the appointment had to be approved by the whole committee","+) sự giao việc, sự phân công; (từ Mỹ,nghĩa Mỹ) việc được giao, việc được phân công
+) sự chia phần
+) sự cho là, sự quy cho
+) (pháp lý) sự nhượng lại, sự chuyển nhượng; chứng từ chuyển nhượng
+) (Tech) phân định, chỉ định; gán, đồng hóa (đĩa); trắc định, xác định",assignment
future,"
+) the time yet to come
+) a verb tense that expresses actions or states in the future
+) bulk commodities bought or sold at an agreed price for delivery at a specified future date","s, a, n","
+) some future historian will evaluate him
+) he was preparing for future employment opportunities
+) our next president","+) tương lai
+) tương lai
+) (số nhiều) (thương nghiệp) hàng hoá bán sẽ giao sau
+) hợp đông về hàng hoá bán giao sau
+) về sau này, trong tương lai",future
complexity,"
+) the quality of being intricate and compounded",n,"
+) he enjoyed the complexity of modern computers","+) sự phức tạp, sự rắc rối
+) điều phức tạp
+) (Tech) phức tạp; độ phức tạp; tính phức tạp
+) [độ, tính] phức tạp
+) computational c. độ phức tạp tính toán",complexity
publisher,"
+) a firm in the publishing business
+) a person engaged in publishing periodicals or books or music
+) the proprietor of a newspaper",n,"
+) ","+) người xuất bản, nhà xuất bản (sách báo...)
+) (từ Mỹ,nghĩa Mỹ) chủ báo",publisher
similar,"
+) marked by correspondence or resemblance
+) having the same or similar characteristics
+) resembling or similar; having the same or some of the same characteristics; often used in combination","s, a","
+) similar food at similar prices
+) problems similar to mine
+) they wore similar coats","+) giống nhau, như nhau, tương tự
+) (toán học) đồng dạng
+) vật giống, vật tương tự
+) (số nhiều) những vật giống nhau
+) đồng dạng",similar
professor,"
+) someone who is a member of the faculty at a college or university",n,"
+) ","+) giáo sư (đại học)
+) (tôn giáo) giáo đồ, tín đồ",professor
layered,"
+) make or form a layer
+) with one layer on top of another","s, v","
+) layer the different colored sands
+) superimposed rocks",,layer
see,"
+) the seat within a bishop's diocese where his cathedral is located
+) perceive by sight or have the power to perceive by sight
+) perceive (an idea or situation) mentally","v, n","
+) You have to be a good observer to see all the details
+) Can you see the bird in that tree?
+) He is blind--he cannot see","+) thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét
+) xem, đọc (trang báo chí)
+) hiểu rõ, nhận ra
+) trải qua, từng trải, đã qua
+) gặp, thăm; đến hỏi ý kiến (bác sĩ, luật sư...); tiếp",see
picture,"
+) a visual representation (of an object or scene or person or abstraction) produced on a surface
+) graphic art consisting of an artistic composition made by applying paints to a surface
+) a clear and telling mental image","v, n","
+) they showed us the pictures of their wedding
+) a movie is a series of images projected so rapidly that the eye integrates them
+) a small painting by Picasso","+) bức tranh, bức ảnh, bức vẽ
+) chân dung
+) người giống hệt (một người khác)
+) hình ảnh hạnh phúc tương lai
+) hiện thân, điển hình",picture
personal,"
+) a short newspaper article about a particular person or group
+) concerning or affecting a particular person or his or her private life and personality
+) particular to a given individual","s, a, n","
+) a personal favor
+) for your personal use
+) personal papers","+) cá nhân, tư, riêng
+) nói đến cá nhân, ám chỉ cá nhân, chỉ trích cá nhân
+) nhân cách hoá
+) là hiện thân của",personal
works,"
+) buildings for carrying on industrial labor
+) everything available; usually preceded by `the'
+) performance of moral or religious acts","v, n","
+) they built a large plant to manufacture automobiles
+) we saw the whole shebang
+) a hotdog with the works",,plant
towards,,,,"+) (từ cổ,nghĩa cổ) dễ bảo, dễ dạy, ngoan
+) về phía, hướng về
+) vào khoảng
+) đối với
+) để, cho, vì",
client,"
+) a person who seeks the advice of a lawyer
+) someone who pays for goods or services
+) (computer science) any computer that is hooked up to a computer network",n,"
+) ","+) khách hàng (của luật sư, cửa hàng...)
+) khách/chủ",client
de,"
+) a Mid-Atlantic state; one of the original 13 colonies",n,"
+) ",,Delaware
interaction,"
+) a mutual or reciprocal action; interacting
+) (physics) the transfer of energy between elementary particles or between an elementary particle and a field or between fields; mediated by gauge bosons",n,"
+) ","+) sự ảnh hưởng lẫn nhau
+) tác động qua lại
+) sự tương tác",interaction
without,,,,"+) không, không có
+) (từ cổ,nghĩa cổ) ngoài; khỏi
+) (từ cổ,nghĩa cổ) bên ngoài, phía ngoài, ở ngoài, ngoài
+) (từ cổ,nghĩa cổ) trừ phi
+) phía ngoài, bên ngoài",
advanced,"
+) move forward, also in the metaphorical sense
+) bring forward for consideration or acceptance
+) increase or raise","s, v","
+) Time marches on
+) advance an argument
+) boost the voltage in an electrical circuit","+) tiên tiến, tiến bộ, cấp tiến
+) cao, cấp cao
+) (Tech) cấp cao, tiên tiếnAdvance
+) (Econ) Tiền ứng trước.
+) Một khoản vay hoặc dựa vào luồng tiền đã xác định hoặc dự kiến. (Xem BANK LOAN).advance /əd'vɑ:ns/",advance
