word,meaning,part_of_speech,examples,phonetic,meaning_vi
assumed,take to be the case or to be true; accept without verification or proof,v,I assume his train was late,assume,"
+) làm ra vẻ, giả bô
+) giả, không có thật
+) được mệnh danh là đúng, được cho là đúng, được thừa nhận
+) giả địnhassume /ə'sju:m/
+) mang, khoác, có, lấy (cái vẻ, tính chất...)
+) làm ra vẻ, giả bộ
+) cho rằng (là đúng); giả sử (là đúng), thừa nhận
+) nắm lấy, chiếm lấy
+) đảm đương, gánh vác, nhận vào mình
+) áp dụng những biện pháp
+) (quân sự) chuyển sang thế tấn công
+) (Tech) giả định, giả sử; đảm nhận
+) giả thiết; thừa nhận"
euclidean,relating to geometry as developed by Euclid,a,Euclidian geometry,euclidian,"
+) (toán học) (thuộc) O-clit"
closeness,a feeling of being intimate and belonging together,n,their closeness grew as the night wore on,closeness,"
+) sự gần gũi, sự thân mật
+) sự chật chội; sự bí hơi; sự ngột ngạt khó thở (không khí...)
+) tính dày chặt, tính khít, tính mau (vải...)
+) tính dè dặt, tính kín đáo
+) tính hà tiện, tính bủn xỉn, tính keo cú
+) tính chặt chẽ (lý luận)
+) tính chính xác, sự gần"
discovery,the act of discovering something,n,,discovery,"
+) sự khám phá ra, sự tìm ra, sự phát hiện ra
+) điều khám phá ra, điều tìm ra, điều phát hiện ra; phát minh
+) sự để lộ ra (bí mật...)
+) nút mở, nút gỡ (trong một vở kịch...)
+) sự khám phá, sự phát minh"
exploratory,serving in or intended for exploration or discovery,a,"an exploratory operation
exploratory reconnaissance
digging an exploratory well in the Gulf of Mexico",exploratory,"
+) để thăm dò, để thám hiểm"
domain,a particular environment or walk of life,n,"his social sphere is limited
it was a closed area of employment
he's out of my orbit",sphere,"
+) đất đai tài sản, dinh cơ, ruộng nương nhà cửa (của địa chủ...)
+) lãnh địa; lãnh thổ
+) phạm vi (ảnh hưởng...), lĩnh vực (khoa học hoạt động...)
+) (Tech) vùng, miền; lãnh vực
+) miền, miền xác định
+) d. of attraction miền hấp dẫn
+) d. of convergence (giải tích) miền hội tụ
+) d. of connectivity p miền liên thông p
+) d. of dependence (giải tích) miền phục thuộc
+) d. of determinancy (giải tích) miền xác định
+) d. of influence (giải tích) miền ảnh hưởng
+) d. of a function miền xác định của một hàm
+) d. of integrity (đại số) miền nguyên
+) d. of a map (tô pô) miền xác định của một ánh xạ
+) d. of multicircular type miền bội vòng
+) d. of rationality (field) trường
+) d. of univalence (giải tích) miền đơn hiệp
+) angular d. miền góc
+) complementary d. (tô pô) miền bù
+) complex d. (tô pô) miền phức
+) conjugate d.s miền liên hợp
+) connected d. miền liên thông
+) conversr d. (logic học) miền ngược, miền đảo
+) convex d. miền lồi
+) counter d. miền nghịch
+) covering d. miền phủ
+) dense d. (thống kê) miền trù mật
+) integral d. (đại số) miền nguyên
+) mealy circular d. (giải tích) miền gần tròn
+) u-tuply connected d. (giải tích) miền n-liên
+) ordered d. miền được sắp
+) plane d. miền phẳng
+) polygonal d. miền đa giác
+) real d. miền thực
+) representative d. (giải tích) miền đại diện
+) ring d. miền vành
+) schlichtartig d. miền loại đơn diệp
+) star d. miền hình sao
+) starlike d. miền giống hình sao
+) tube d. (giải tích) miền [hình trụ, hình ống ]
+) unique factorization d. miền nhân tử hoá duy nhất
+) universal d. hh; (đại số) miền phổ dụng"
adjusting,alter or regulate so as to achieve accuracy or conform to a standard,v,"Adjust the clock, please
correct the alignment of the front wheels",adjust,"
+) (Tech) điều chỉnh (d)adjust /ə'dʤʌst/
+) sửa lại cho đúng, điều chỉnh
+) lắp (các bộ phận cho ăn khớp)
+) chỉnh lý, làm cho thích hợp
+) hoà giải, dàn xếp (mối bất hoà, cuộc phân tranh...)
+) (Tech) điều chỉnh
+) (máy tính) điều chỉnh; thiết lập"
sought,try to get or reach,v,"seek a position
seek an education
seek happiness",seek,"
+) tìm, đi tìm, tìm kiếm, cố tìm cho được
+) mưu cầu, theo đuổi, nhằm vào, cố gắng
+) thỉnh cầu, yêu cầu
+) theo đuổi (danh vọng); săn đón, thăm hỏi
+) đi tìm, tìm kiếm
+) tìm, nhằm tìm (ai)
+) tìm thấy
+) lục tìm, lục soát
+) còn thiếu, còn cần
+) tìm, đi tìm, tìm kiếm, cố tìm cho được
+) mưu cầu, theo đuổi, nhằm vào, cố gắng
+) thỉnh cầu, yêu cầu
+) theo đuổi (danh vọng); săn đón, thăm hỏi
+) đi tìm, tìm kiếm
+) tìm, nhằm tìm (ai)
+) tìm thấy
+) lục tìm, lục soát
+) còn thiếu, còn cần
+) tìm tòi; cố gắng"
multitude,a large indefinite number,n,"a battalion of ants
a multitude of TV antennas
a plurality of religions",battalion,"
+) vô số
+) đám đông
+) (the multitude) quần chúng, dân chúng
+) đám đông; tập hợp"
exhibit,an object or statement produced before a court of law and referred to while giving evidence,n,,exhibit,"
+) vật trưng bày, vật triển lãm
+) sự phô bày, sự trưng bày
+) (pháp lý) tang vật
+) phô bày, trưng bày, triển lãm
+) đệ trình, đưa ra
+) bày tỏ, tỏ ra, biểu lộ
+) trưng bày, triển lãm"
limited,public transport consisting of a fast train or bus that makes only a few scheduled stops,n,he caught the express to New York,express,"
+) có hạn, hạn chế, hạn định
+) bị chặn, bị hạn chếlimit /'limit/
+) giới hạn, hạn độ
+) (thông tục) (the limit) người quá quắc; điều quá quắc
+) giới hạn, hạn chế
+) làm giới hạn cho
+) giới hạn, cận // hạn chế; giới hạn l. approached from the left tiến
+) dần tới giới hạn về bên trái; l. approached from the right tiến dần tới
+) giới hạn về bên phải; at the l. ở giới hạn; l. in the mean giới hạn trung
+) bình; l.s on an integral giới hạn tích phân; to place an upper l. on xác
+) định giới hạn trên; to set a l. xác định giới hạn; to tend to a l. tiến tới
+) giới hạn
+) l. of error giới hạn sai số
+) l. of funtion giới hạn của hàm
+) l. of integration (giải tích) cận lấy tích phân
+) l. of proportionality giới hạn tỷ lệ
+) l. of sequence giới hạn dãy
+) action l.s giới hạn tác dụng
+) complete l. (giải tích) giới hạn đầy đủ, giới hạn trên
+) confidence l. (thống kê) giới hạn tin cậy
+) control l.s giới hạn kiểm tra
+) direct l. (đại số) giới hạn trực tiếp
+) elastic l. giới hạn đàn hồi
+) fiducial (thống kê) giới hạn tin cậy
+) functional l. giới hạn hàm
+) inconsistent l. giới hạn không nhất quán
+) inverse l. (đại số) giới hạn ngược
+) least l. giới hạn bé nhất
+) left-hand l. giới hạn bên trái
+) lower l. giới hạn dưới
+) plastic l. giới hạn dẻo
+) probability l. (thống kê) giới hạn xác suất
+) projective l. giới hạn xạ ảnh, giới hạn xạ ngược
+) repéted l.s giới hạn lặp
+) right-hand l. giới hạn bên phải
+) superior l. giới hạn trên
+) tolerance l. (thống kê) giới hạn cho phép, giới hạn chấp nhận được
+) upper l. giới hạn trên, cận trên
+) upper control l. (thống kê) cận kiểm tra trên
+) yied l. giới hạn dão, điểm dão"
dealing,method or manner of conduct in relation to others,n,honest dealing,dealing,"
+) sự chia, sự phân phát
+) sự buôn bán; (số nhiều) sự gia dịch buôn bán
+) thái độ đối xử, cách đối xử, cách xử sự, cách cư xử
+) (số nhiều) quan hệ, sự giao thiệp
+) (số nhiều) sự thông đồng; việc làm ám muội
+) gỗ tùng, gỗ thông
+) tấm ván cây
+) số lượng
+) sự chia bài, lượt chia bài, ván bài
+) (thực vật học) sự giao dịch, sự thoả thuận mua bán; sự thông đồng ám muội; việc làm bất lương
+) cách đối xử; sự đối đãi
+) (từ Mỹ,nghĩa Mỹ) chính sách kinh tế xã hội mới (của Ru-dơ-ven năm 1932)
+) ((thường) + out) phân phát, phân phối
+) chia (bài)
+) ban cho
+) giáng cho, nện cho (một cú đòn...)
+) giáng cho ai một đòn
+) giao du với, có quan hệ với, giao thiệp với, chơi bời đi lại với
+) (thương nghiệp) giao dịch buôn bán với
+) (+ in) buôn bán
+) chia bài
+) giải quyết; đối phó
+) đối xử, đối đãi, ăn ở, cư xử"
capability,the quality of being capable -- physically or intellectually or legally,n,he worked to the limits of his capability,capability,"
+) khả năng, năng lực
+) (số nhiều) năng lực tiềm tàng
+) (Tech) khả năng; quyền hạn"
topology,topographic study of a given place (especially the history of the place as indicated by its topography),n,Greenland's topology has been shaped by the glaciers of the ice age,topology,"
+) địa hình học
+) tôpô
+) t. of a space tôpô của một không gian
+) algebraic t. tôpô đại số
+) combinatorial t. tôpô tổ hợp
+) discrete t. tôpô rời rạc
+) combinatorial t. tôpô tổ hợp
+) discrete t. tôpô rời rạc
+) general t. tôpô đại cương
+) identification t. tôpô đồng nhất hoá
+) interval t. tôpô khoảng
+) orbital t. tôpô quỹ đạo
+) order compatible t. tôpô tương thích thứ tự
+) plan t. tôpô phẳng
+) point-set t. tôpô tập điểm
+) relative t. tôpô cảm sinh
+) strong t. tôpô mạnh
+) weak t. tôpô yếu"
feasible,capable of being done with means at hand and circumstances as they are,s,,feasible,"
+) có thể thực hành được, có thể thực hiện được, có thể làm được
+) tiện lợi
+) có thể tin được, nghe xuôi tai (truyện, luận thuyết...)
+) cho phép; có thể thực hiện được
+) physically f. thực hiện cụ thể được"
prolonged,lengthen in time; cause to be or last longer,v,"We prolonged our stay
She extended her visit by another day
The meeting was drawn out until midnight",prolong,"
+) kéo dài, được nối dài thêm
+) kéo dài; nối dài; gia hạn
+) phát âm kéo dài (một âm tiết...)
+) kéo dài, mở rộng thác triển"
accurately,with few mistakes,r,he works very accurately,accurately,"
+) đúng đắn, chính xác, xác đáng"
finer,(comparative of `fine') greater in quality or excellence,s,"a finer wine
a finer musician",finer,"
+) (tô pô) mịn hơnfine /fain/
+) tốt, nguyên chất (vàng, bạc...)
+) nhỏ, mịn, thanh mảnh; sắc
+) tốt, khả quan, hay, giải
+) lớn, đường bệ
+) đẹp, xinh, bảnh
+) đẹp, trong sáng
+) sặc sỡ, rực rỡ, loè loẹt
+) cầu kỳ (văn)
+) có ý kiến khen ngợi, có ý ca ngợi
+) tế nhị, tinh vi; chính xác
+) cao thượng, cao quý
+) (thể dục,thể thao) hoàn toàn sung sức
+) người tốt vì lụa
+) ông lớn
+) bà lớn
+) hay, khéo
+) trời đẹp
+) dù mưa hay nắng
+) (nghĩa bóng) lúc khó khăn cũng như lúc thuận lợi
+) lọc (bia) cho trong
+) (+ away,  down,  off) làm thanh, làm mịn
+) làm nhỏ bớt, làm thon
+) trong ra (nước...)
+) trở nên thanh hơn, trở nên nhỏ hơn, trở nên mịn hơn
+) thon ra
+) tiền phạt
+) tiền chồng nhà (của người mới thuê)
+) bắt phạt ai, phạt vạ ai
+) trả tiền chồng nhà (người thuê nhà)
+) in fine tóm lại; cuối cùng, sau hết
+) chính xác, thuần tuý; (tô pô) mịn // làm sạch"
asset,a useful or valuable quality,n,,asset,"
+) (số nhiều) tài sản (của một người hay một công ty) có thể dùng để trả nợ
+) (số nhiều) tài sản của người không thể trả được nợ
+) (số nhiều) của cải, tài sản, vật thuộc quyền sở hữ
+) (thông tục) vốn quý, vật có ích, vật quý"
citation,an official award (as for bravery or service) usually given as formal public statement,n,,citation,"
+) sự dẫn, sự trích dẫn
+) câu trích dẫn, đoạn trích dẫn
+) (pháp lý) trát đòi hầu toà
+) (từ Mỹ,nghĩa Mỹ),  (quân sự) sự biểu dương, sự tuyên dương"
image,an iconic mental representation,n,her imagination forced images upon her too awful to contemplate,image,"
+) hình, hình ảnh, ảnh (trong gương...)
+) vật giống hệt (vật khác); người giống hệt (người khác)
+) hình tượng
+) tượng, thần tượng, thánh tượng
+) ý niệm, ý tưởng, quan niệm
+) tượng trưng, điển hình, hiện thân (của cái gì)
+) vẽ hình
+) phản ánh (như ở trong gương)
+) hình dung, tưởng tượng ra
+) mô tả sinh động, mô tả bằng hình tượng
+) là tượng trưng của, là điển hình của, là hiện thân của, tượng trưng cho (cái gì)
+) ảnh; sự phản ánh; sự tạo ảnh
+) complete inverse i. (đại số) ; (tô pô) nghịch ảnh đầy đủ
+) inverse i. nghịch ảnh
+) mirror i. (hình học) phép ánh xạ gương
+) reflected i. ảnh phản xạ
+) spherical i. (hình học) ảnh cầu"
composed,form the substance of,v,Greed and ambition composed his personality,compose,"
+) bình tĩnh, điềm tĩnhcompose /kəm'pouz/
+) soạn, sáng tác, làm
+) ((thường) dạng bị động) gồm có, bao gồm
+) bình tĩnh lại, trấn tĩnh; chuẩn bị tư thế đĩnh đạc (để làm gì...)
+) giải quyết; dàn xếp; dẹp được
+) (ngành in) sắp chữ
+) (Tech) soạn; sáng tác; hình thành; tạo thành (đ); sắp chữ (đ)"
